time: 0.382805 	 V: 5.1599 	 T: 27.67
time: 0.383789 	 V: 5.1599 	 T: 27.67
time: 0.384772 	 V: 5.9341 	 T: 27.67
time: 0.385754 	 V: 5.1599 	 T: 27.67
time: 0.386733 	 V: 5.9341 	 T: 27.67
time: 0.387722 	 V: 5.1599 	 T: 27.67
time: 0.388704 	 V: 5.1599 	 T: 27.67
time: 0.389685 	 V: 5.1599 	 T: 27.67
time: 0.390664 	 V: 5.9341 	 T: 27.67
time: 0.391869 	 V: 5.1599 	 T: 27.67
time: 0.392869 	 V: 5.9341 	 T: 27.67
time: 0.393866 	 V: 5.9341 	 T: 27.67
time: 0.394869 	 V: 5.1599 	 T: 27.67
time: 0.395869 	 V: 5.9341 	 T: 27.67
time: 0.396876 	 V: 5.9341 	 T: 27.67
time: 0.397878 	 V: 5.1599 	 T: 27.67
time: 0.398880 	 V: 5.9341 	 T: 27.67
time: 0.399887 	 V: 5.9341 	 T: 27.67
time: 0.400891 	 V: 5.9341 	 T: 27.67
time: 0.401916 	 V: 5.1599 	 T: 27.67
time: 0.402918 	 V: 5.1599 	 T: 27.67
time: 0.403922 	 V: 5.9341 	 T: 27.67
time: 0.404923 	 V: 5.9341 	 T: 27.67
time: 0.406000 	 V: 5.9341 	 T: 27.67
time: 0.407004 	 V: 5.9341 	 T: 27.67
time: 0.408011 	 V: 5.9341 	 T: 27.67
time: 0.409009 	 V: 5.9341 	 T: 27.67
time: 0.410015 	 V: 5.1599 	 T: 27.67
time: 0.411017 	 V: 5.9341 	 T: 27.67
time: 0.412038 	 V: 5.1599 	 T: 27.67
time: 0.413041 	 V: 5.9341 	 T: 27.67
time: 0.414050 	 V: 5.9341 	 T: 27.67
time: 0.415054 	 V: 5.9341 	 T: 27.67
time: 0.416063 	 V: 6.6184 	 T: 27.67
time: 0.417069 	 V: 5.1599 	 T: 27.67
time: 0.418102 	 V: 5.9341 	 T: 27.67
time: 0.419099 	 V: 5.9341 	 T: 27.67
time: 0.420184 	 V: 5.1599 	 T: 27.67
time: 0.421206 	 V: 5.9341 	 T: 27.67
time: 0.422211 	 V: 5.9341 	 T: 27.67
time: 0.423214 	 V: 5.9341 	 T: 27.67
time: 0.424221 	 V: 6.6184 	 T: 27.67
time: 0.425222 	 V: 5.9341 	 T: 27.67
time: 0.426232 	 V: 5.1599 	 T: 27.67
time: 0.427230 	 V: 5.9341 	 T: 27.67
time: 0.428233 	 V: 5.9341 	 T: 27.67
time: 0.429230 	 V: 5.1599 	 T: 27.67
time: 0.430236 	 V: 5.9341 	 T: 27.67
time: 0.431252 	 V: 5.9341 	 T: 27.67
time: 0.432258 	 V: 5.1599 	 T: 27.67
time: 0.433259 	 V: 5.9341 	 T: 27.67
time: 0.434333 	 V: 5.1599 	 T: 27.67
time: 0.435338 	 V: 5.9341 	 T: 27.67
time: 0.436344 	 V: 5.1599 	 T: 27.67
time: 0.437352 	 V: 5.9341 	 T: 27.67
time: 0.438369 	 V: 5.9341 	 T: 27.67
time: 0.439369 	 V: 5.9341 	 T: 27.67
time: 0.440373 	 V: 5.9341 	 T: 27.67
time: 0.441395 	 V: 5.9341 	 T: 27.67
time: 0.442400 	 V: 5.9341 	 T: 27.67
time: 0.443404 	 V: 5.1599 	 T: 27.67
time: 0.444408 	 V: 5.1599 	 T: 27.67
time: 0.445423 	 V: 5.1599 	 T: 27.67
time: 0.446421 	 V: 5.9341 	 T: 27.67
